time,duration,x,y,avg_dilation
272650,100,754,851,0.088598214
272949,139,763,888,0.210598214
288740,140,756,585,0.082098214
289119,100,757,579,
289498,100,738,774,
289717,100,722,828,0.131098214
290335,179,755,899,0.200598214
290554,140,754,926,0.100598214
291152,120,81,563,0.079401786
291511,259,69,598,0.031598214
291810,299,79,616,
292408,199,74,596,
292628,139,84,595,0.099598214
292987,100,63,524,0.097598214
293106,359,70,541,0.084598214
293585,179,96,557,0.143598214
293884,100,100,564,0.174598214
294083,279,91,557,
294402,180,91,551,0.136098214
294602,299,104,566,0.162598214
294921,239,108,571,0.114598214
295200,160,103,567,0.221098214
295479,139,94,570,0.124098214
295678,120,90,578,0.102098214
295818,160,101,591,0.101098214
296815,100,165,194,0.030401786
297891,319,277,214,0.007598214
298250,179,83,207,0.086598214
298509,100,98,559,0.128598214
299028,100,104,563,0.119598214
299466,140,106,206,0.253098214
299646,319,300,199,0.175598214
300005,359,93,195,0.183098214
300423,199,266,194,0.296098214
300722,219,296,188,0.211098214
301001,100,728,494,0.212598214
304989,100,736,535,0.060598214
305228,140,725,519,
312466,259,1101,753,0.117098214
312864,140,479,741,0.175098214
313283,120,445,653,0.031401786
313682,140,463,435,0.027901786
313841,120,454,426,0.143401786
314120,120,157,398,0.048901786
314260,100,124,420,0.004901786
314380,140,125,425,0.034401786
314539,259,157,366,0.020598214
314838,160,274,362,0.025598214
315157,279,418,380,0.087901786
315835,139,203,388,0.147598214
316094,359,82,302,0.090098214
316493,179,270,282,0.068901786
316692,100,266,283,0.013401786
316872,598,445,220,0.067901786
317510,359,436,232,0.039098214
317889,100,459,222,0.162598214
318008,239,459,198,0.090098214
318267,319,449,213,0.140598214
318806,140,271,196,0.179098214
320082,140,88,220,
320401,180,279,218,
320640,339,255,217,
321019,179,261,206,
321218,100,293,214,0.061901786
321338,140,285,207,0.018901786
321637,100,243,216,
321856,140,77,249,0.100098214
322016,180,75,236,0.118098214
322614,259,276,189,0.156598214
322893,179,191,178,
323092,279,165,180,
324129,100,244,162,0.115098214
324249,219,334,184,0.106098214
324727,239,585,194,0.067098214
325106,259,695,180,0.054598214
325385,279,605,194,0.104598214
325684,179,548,189,0.105098214
325943,120,437,199,0.187098214
326203,159,238,164,0.134598214
326382,279,196,177,0.124598214
326681,199,266,169,0.156098214
326980,399,250,201,0.144098214
327498,140,86,222,0.111598214
327658,299,67,234,0.154598214
328196,179,105,225,0.265598214
328396,678,81,235,0.176598214
329193,359,249,205,0.353098214
329572,120,252,212,
329791,199,132,219,0.159098214
330569,180,84,600,
330888,159,87,573,0.222098214
331067,120,99,574,0.012598214
331426,120,100,593,
331984,120,791,648,0.202598214
332423,120,759,582,0.156598214
332742,100,285,200,0.020901786
332981,140,262,181,
333260,140,258,222,
333440,359,254,215,
334018,100,762,570,0.351598214
334576,219,771,649,0.134098214
335254,140,753,616,0.037598214
335533,160,751,597,0.057401786
336211,100,93,546,
336590,100,102,571,0.003901786
336729,159,95,556,0.119098214
337208,219,94,556,
337846,120,123,564,0.126598214
337986,119,105,548,
338185,100,93,557,0.306098214
338384,100,96,551,0.189098214
338624,140,95,563,0.204598214
339042,120,102,590,0.340598214
339202,100,91,560,0.245098214
339341,120,87,536,0.166098214
339481,279,102,568,
340398,119,105,567,
340896,180,780,617,0.155598214
341096,100,765,599,0.149098214
341235,100,754,596,0.166598214
341455,139,752,552,0.058098214
341694,100,744,547,0.058598214
341814,160,751,576,0.032401786
342272,140,792,676,0.065098214
343149,120,446,216,
343329,219,73,236,0.176098214
344704,100,85,664,
344924,239,55,664,0.146098214
345741,120,106,679,0.208098214
346299,160,116,761,
346798,100,743,791,0.223098214
346918,139,733,830,0.097598214
347994,159,738,855,0.086598214
348233,120,727,838,0.002901786
348393,100,736,829,0.007901786
348911,140,717,528,0.032098214
349649,139,704,839,0.117098214
349888,160,691,821,0.182598214
350088,120,686,816,0.045598214
350287,160,683,547,
350586,179,700,522,0.008401786
350825,319,699,540,0.009901786
351483,100,697,535,0.064098214
351902,100,730,557,0.175598214
352420,259,717,599,0.105598214
352699,140,699,559,0.042598214
352899,180,704,561,0.091098214
354354,219,708,519,0.081401786
354693,120,87,513,0.002401786
355411,100,79,662,0.252098214
355909,160,273,220,
356129,100,254,223,
356488,279,445,251,
356807,219,248,235,0.139098214
357205,299,106,256,0.182598214
357883,140,294,221,0.222098214
358282,140,87,641,0.318598214
358461,159,115,816,0.314098214
358760,100,112,803,0.231098214
358880,239,121,778,0.107098214
359179,100,110,741,0.110598214
359737,180,104,652,0.048098214
360236,199,89,795,
360535,299,76,651,0.188098214
361153,120,65,634,
361392,139,106,662,0.118598214
361930,120,114,681,0.130598214
362728,100,78,637,0.151098214
363426,199,66,634,
363645,199,61,659,0.122598214
363864,239,98,674,0.142598214
364383,120,87,688,0.186598214
364542,120,87,682,0.113598214
364722,279,88,679,0.157098214
365120,100,114,695,0.144098214
365559,160,730,628,0.149098214
366018,199,735,585,0.008401786
366436,219,720,560,0.005598214
366835,179,692,548,0.025098214
367074,219,732,578,0.005598214
367314,100,720,540,0.006598214
367732,159,752,566,0.102098214
367912,100,761,607,0.024098214
368131,120,765,591,0.009098214
368510,100,721,547,0.086598214
369148,239,92,623,0.140098214
369566,140,87,666,0.074598214
370005,140,84,636,0.116598214
370364,120,105,221,
370743,199,302,232,0.178598214
371102,279,458,242,0.210098214
371461,159,450,251,
371700,578,622,238,0.120598214
372318,359,627,243,
372737,239,459,243,
374052,160,445,271,0.855098214
374232,459,445,243,0.680598214
374750,837,451,258,0.124098214
375628,379,448,276,0.054098214
376086,239,272,255,0.035901786
376584,100,70,259,0.024401786
377661,239,276,248,0.168598214
378060,179,96,255,
378259,279,268,252,0.034401786
378558,239,294,248,
378817,160,266,251,0.018401786
379057,140,95,247,
379256,199,81,258,
379495,339,269,243,0.052598214
380054,159,448,267,0.037598214
380233,598,450,268,0.169098214
380951,1077,261,253,0.164598214
382047,120,85,262,0.063098214
382366,319,65,260,0.091098214
382765,598,267,250,
383383,259,268,260,0.033901786
383662,239,324,254,0.013901786
383922,159,287,268,0.006098214
384161,100,68,258,0.126098214
384460,379,268,257,0.082598214
384878,100,431,265,0.062598214
385397,140,90,554,0.004901786
385696,140,79,622,0.132901786
386892,140,80,634,0.053098214
387052,120,83,639,
387291,160,101,639,0.049098214
387570,120,98,621,0.051598214
387889,239,109,656,
388706,159,83,713,0.112598214
389444,199,51,687,0.136098214
389663,120,49,696,0.137598214
390262,359,100,712,
391338,100,99,635,
391936,419,135,694,0.160598214
392834,120,99,675,0.063098214
392973,140,88,656,0.094098214
393372,100,88,659,0.033098214
393691,219,114,673,0.160098214
